Date,SENSEX.BO,TCS.BO,TATAMOTORS.BO,SUNPHARMA.BO,ITC.BO,INFOSYS.BO,ICICIBANK.BO,AXISBANK.BO,ASIANPAINTS.BO
1/1/2014,21140.48047,2153.699951,374.899994,572.400024,322.099487,3466.399902,1097.400024,6458.75,499.850006
1/2/2014,20888.33008,2162.300049,371.950012,573.900024,315.400513,3474.751953,1075.099976,6363.75,485.5
1/3/2014,20851.33008,2222,362.700012,579.950012,314.849976,3565.447998,1067,6303.25,489.399994
1/6/2014,20787.30078,2239.600098,366.850006,588.150024,316.000519,3514.199951,1040.699951,6279.75,490.399994
1/7/2014,20693.24023,2208.199951,365.299988,593.75,316.750519,3457.399902,1049.950073,6171.5,490.200012
1/8/2014,20729.38086,2233,370.25,601.799988,316.799988,3428.5,1054.050049,6064,490.5
1/9/2014,20713.36914,2243.649902,368.149994,606.5,315.450012,3451.052002,1051.5,5924.75,490.100006
1/10/2014,20758.49023,2281.800049,368.149994,609.700012,322.4505,3548.899902,1024.550049,5822.75,492.75
1/13/2014,21134.21094,2370.300049,376.049988,602.450012,325.5,3665.699951,1056.200073,5917.25,494.600006
1/14/2014,21032.88086,2328.149902,371.799988,603.599976,324.150024,3688.852051,1037.549927,5878.5,487.200012
1/15/2014,21289.49023,2354.25,376.75,603.650024,328.349976,3710.552002,1058.349976,5890.75,492.950012
1/16/2014,21265.17969,2351.350098,369.75,593.25,325.699493,3724.699951,1060.849976,5884.75,496.5
1/17/2014,21063.61914,2215.649902,369.649994,594.150024,324.850494,3728.052002,1035,5764,491.75
1/20/2014,21205.05078,2338.25,374.600006,589.349976,330.199493,3749.899902,1044.100098,5807.75,490.100006
1/21/2014,21251.11914,2280.649902,384.649994,580.900024,328.999481,3755.647949,1078.799927,5945.5,479
1/22/2014,21337.66992,2274.350098,385.299988,597.450012,327.400513,3767.100098,1087.050049,5934.25,473.75
1/23/2014,21373.66016,2254.149902,383,608.799988,328.950012,3792.800049,1079.100098,6081.5,473.149994
1/24/2014,21133.56055,2248.149902,370.5,602.700012,324.199493,3759.052002,1057.949951,6034.75,478.399994
1/27/2014,20707.44922,2230.300049,347.799988,597.450012,324.450012,3732.600098,1010.049988,5799.75,475.950012
1/28/2014,20683.50977,2213.300049,356.25,582.900024,327.150024,3677,1019.150024,5609.75,478
1/29/2014,20647.30078,2209.550049,351.850006,590.700012,325.000519,3717.647949,1001.950012,5698.25,482.75
1/30/2014,20498.25,2217.899902,361.200012,593.299988,324.550507,3704.751953,974.75,5549.75,478.600006
1/31/2014,20513.84961,2236.199951,349.850006,588.150024,325.099487,3699.447998,988.5,5597.75,472.25
2/3/2014,20209.25977,2196.649902,336.600006,595.299988,320.500519,3628.699951,963.700012,5615.25,471.149994
2/4/2014,20211.92969,2155.199951,345.899994,588.799988,325.000519,3566.647949,970.100037,5616.25,476.100006
2/5/2014,20261.0293,2191.050049,355.799988,584.25,318.949493,3581.552002,966.149963,5606,483.899994
2/6/2014,20310.74023,2174.75,357.649994,584.900024,324.599976,3563.447998,957.600037,5514.25,483.950012
2/7/2014,20376.56055,2143.350098,360.899994,601.299988,323.400024,3566.699951,961.75,5628.75,490.5
2/10/2014,20334.26953,2093.699951,364,611.400024,325.000519,3568.5,959.550049,1120.099976,486.950012
2/11/2014,20363.36914,2101,374.299988,608.599976,325.049988,3595.800049,969.100037,5613,483.700012
2/12/2014,20448.49023,2103.800049,376.049988,611.049988,320.2995,3599.600098,999.25,5596,477.399994
2/13/2014,20193.34961,2133.75,375.950012,614.700012,316.750519,3586.447998,981.200012,5506,470.049988
2/14/2014,20366.82031,2166.25,388.149994,608.950012,319.799988,3645.600098,988.399963,5513.5,472.299988
2/17/2014,20464.06055,2168.600098,386.350006,605.950012,319.950012,3662.248047,1009.450012,5576.75,472.950012
2/18/2014,20634.21094,2166.149902,391.450012,609,317.400024,3680,1037.75,5823,473
2/19/2014,20722.9707,2198.449951,391.450012,623.299988,316.600494,3753.947998,1030.650024,5823.5,468.600006
2/20/2014,20536.64063,2192.850098,391.200012,619.349976,311.800507,3713.699951,1008.450012,5783.75,462.200012
2/21/2014,20700.75,2205.350098,395.950012,614.299988,317.500519,3751.699951,1024.75,5948.75,464.200012
2/24/2014,20811.43945,2178.199951,396.600006,620.349976,319.849487,3750.751953,1036.200073,6177.5,470.200012
2/25/2014,20852.4707,2188.300049,398.600006,618.599976,321.900024,3782.699951,1030.699951,6175.75,472.100006
2/26/2014,20986.99023,2182.399902,400.450012,626.799988,328.5495,3803.852051,1036.400024,6181,476.549988
2/28/2014,21120.11914,2272.800049,417.049988,642.700012,327.499481,3820.199951,1043.700073,6329.5,472.950012
3/3/2014,20946.65039,2240.850098,410.649994,625.049988,328.650024,3793.052002,1029.649902,6269,473.049988
3/4/2014,21209.73047,2242.949951,412.899994,620.5,331.5495,3799.899902,1068.300049,6475.25,475.549988
3/5/2014,21276.85938,2250.149902,409.799988,622.25,332.899506,3815.300049,1097.149902,6533.75,474.649994
3/6/2014,21513.86914,2241.149902,407.950012,621,334.699493,3835.699951,1133.650024,6641.5,474.450012
3/7/2014,21919.78906,2225.100098,409,612.150024,337.5495,3740.947998,1201.299927,7034.5,480.600006
